Date,Total,Coronavirus
2020-03-28T00:02:54-05:00,168502,138
2020-03-28T00:33:00-05:00,168502,138
2020-03-28T01:03:06-05:00,168502,138
2020-03-28T01:33:12-05:00,168502,138
2020-03-28T02:03:21-05:00,166840,140
2020-03-28T02:33:27-05:00,166840,140
2020-03-28T03:03:33-05:00,166840,140
2020-03-28T03:33:39-05:00,166840,140
2020-03-28T04:03:45-05:00,166840,140
2020-03-28T04:33:51-05:00,166840,140
2020-03-28T05:03:57-05:00,166840,140
2020-03-28T05:34:03-05:00,166840,140
2020-03-28T06:04:09-05:00,167742,143
2020-03-28T06:34:16-05:00,167742,143
2020-03-28T07:04:22-05:00,167742,143
2020-03-28T07:34:28-05:00,167742,143
2020-03-28T08:04:34-05:00,167742,143
2020-03-28T08:34:40-05:00,167742,143
2020-03-28T09:04:46-05:00,167742,143
2020-03-28T09:34:52-05:00,167742,143
2020-03-28T10:04:58-05:00,168708,145
2020-03-28T10:35:05-05:00,168708,145
2020-03-28T11:05:11-05:00,168708,145
2020-03-28T11:35:17-05:00,168708,145
2020-03-28T12:05:23-05:00,168708,145
2020-03-28T12:35:29-05:00,168708,145
2020-03-28T13:05:35-05:00,168708,145
2020-03-28T13:35:41-05:00,168708,145
2020-03-28T14:05:47-05:00,169749,146
2020-03-28T14:35:53-05:00,169749,146
2020-03-28T15:05:59-05:00,169749,146
2020-03-28T15:36:05-05:00,169749,146
2020-03-28T16:06:11-05:00,169749,146
2020-03-28T16:36:17-05:00,169749,146
2020-03-28T17:06:23-05:00,169749,146
2020-03-28T17:36:29-05:00,169749,146
2020-03-28T18:06:36-05:00,170903,148
2020-03-28T18:36:42-05:00,170903,148
2020-03-28T19:06:48-05:00,170903,148
2020-03-28T19:36:54-05:00,170903,148
2020-03-28T20:07:00-05:00,170903,148
2020-03-28T20:37:06-05:00,170903,148
2020-03-28T21:07:12-05:00,170903,148
2020-03-28T21:37:18-05:00,170903,148
2020-03-28T22:07:26-05:00,171560,152
2020-03-28T22:37:32-05:00,171560,152
2020-03-28T23:07:38-05:00,171560,152
2020-03-28T23:37:44-05:00,171560,152
2020-03-29T00:07:50-05:00,171560,152
2020-03-29T00:37:56-05:00,171560,152
2020-03-29T01:08:02-05:00,171560,152
2020-03-29T01:38:09-05:00,171560,152
2020-03-29T02:08:16-05:00,170245,153
2020-03-29T02:38:23-05:00,170245,153
2020-03-29T03:08:29-05:00,170245,153
2020-03-29T03:38:35-05:00,170245,153
2020-03-29T04:08:41-05:00,170245,153
2020-03-29T04:38:47-05:00,170245,153
2020-03-29T05:08:53-05:00,170245,153
2020-03-29T05:38:59-05:00,170245,153
2020-03-29T06:09:06-05:00,171216,155
2020-03-29T06:39:12-05:00,171216,155
2020-03-29T07:09:18-05:00,171216,155
2020-03-29T07:39:24-05:00,171216,155
2020-03-29T08:09:30-05:00,171216,155
2020-03-29T08:39:36-05:00,171216,155
2020-03-29T09:09:42-05:00,171216,155
2020-03-29T09:39:48-05:00,171216,155
2020-03-29T10:09:55-05:00,172139,156
2020-03-29T10:40:01-05:00,172139,156
2020-03-29T11:10:07-05:00,172139,156
2020-03-29T11:40:13-05:00,172139,156
2020-03-29T12:10:19-05:00,172139,156
2020-03-29T12:40:25-05:00,172139,156
2020-03-29T13:10:31-05:00,172139,156
2020-03-29T13:40:37-05:00,172139,156
2020-03-29T14:10:44-05:00,173197,159
2020-03-29T14:40:50-05:00,173197,159
2020-03-29T15:10:57-05:00,173197,159
2020-03-29T15:41:03-05:00,173197,159
2020-03-29T16:11:09-05:00,173197,159
2020-03-29T16:41:15-05:00,173197,159
2020-03-29T17:11:21-05:00,173197,159
2020-03-29T17:41:27-05:00,173197,159
2020-03-29T18:12:33-05:00,,
2020-03-29T18:42:40-05:00,174149,161
2020-03-29T19:12:47-05:00,174149,161
2020-03-29T19:42:53-05:00,174149,161
2020-03-29T20:12:59-05:00,174149,161
2020-03-29T20:43:05-05:00,174149,161
2020-03-29T21:13:11-05:00,174149,161
2020-03-29T21:43:17-05:00,174149,161
2020-03-29T22:13:23-05:00,174149,161
2020-03-29T22:43:29-05:00,173685,161
2020-03-29T23:13:35-05:00,173685,161
2020-03-29T23:43:41-05:00,173685,161
2020-03-30T00:13:47-05:00,173685,161
2020-03-30T00:43:53-05:00,173685,161
2020-03-30T01:13:59-05:00,173685,161
2020-03-30T01:44:05-05:00,173685,161
2020-03-30T02:14:11-05:00,173685,161
2020-03-30T02:45:17-05:00,,
2020-03-30T03:15:23-05:00,173205,161
2020-03-30T03:45:29-05:00,173205,161
2020-03-30T04:15:35-05:00,173205,161
2020-03-30T04:45:41-05:00,173205,161
2020-03-30T05:15:47-05:00,173205,161
2020-03-30T05:45:53-05:00,173205,161
2020-03-30T06:15:59-05:00,173205,161
2020-03-30T06:46:05-05:00,173205,161
2020-03-30T07:16:12-05:00,172725,161
2020-03-30T07:46:18-05:00,172725,161
2020-03-30T08:16:24-05:00,172725,161
2020-03-30T08:46:30-05:00,172725,161
2020-03-30T09:16:36-05:00,172725,161
2020-03-30T09:46:42-05:00,172725,161
2020-03-30T10:16:48-05:00,172725,161
2020-03-30T10:46:54-05:00,172725,161
2020-03-30T11:17:00-05:00,172587,162
2020-03-30T11:47:07-05:00,172587,162
2020-03-30T12:17:13-05:00,172587,162
2020-03-30T12:47:19-05:00,172587,162
2020-03-30T13:17:25-05:00,172587,162
2020-03-30T13:47:31-05:00,172587,162
2020-03-30T14:17:37-05:00,172587,162
2020-03-30T14:47:43-05:00,172587,162
2020-03-30T15:17:49-05:00,172949,163
2020-03-30T15:47:56-05:00,172949,163
2020-03-30T16:18:02-05:00,172949,163
2020-03-30T16:48:08-05:00,172949,163
2020-03-30T17:18:14-05:00,172949,163
2020-03-30T17:48:20-05:00,172949,163
2020-03-30T18:18:26-05:00,172949,163
2020-03-30T18:48:32-05:00,172949,163
2020-03-30T19:18:41-05:00,173380,163
2020-03-30T19:48:47-05:00,173380,163
2020-03-30T20:18:53-05:00,173380,163
2020-03-30T20:48:59-05:00,173380,163
2020-03-30T21:19:05-05:00,173380,163
2020-03-30T21:49:11-05:00,173380,163
2020-03-30T22:19:17-05:00,173380,163
2020-03-30T22:49:23-05:00,173380,163
2020-03-30T23:19:29-05:00,173768,165
2020-03-30T23:49:36-05:00,173768,165
2020-03-31T00:19:42-05:00,173768,165
2020-03-31T00:49:48-05:00,173768,165
2020-03-31T01:19:54-05:00,173768,165
2020-03-31T01:50:00-05:00,173768,165
2020-03-31T02:20:06-05:00,173768,165
2020-03-31T02:50:12-05:00,173768,165
